Player,Team,Year,Round_Number,Round_Pick,Overall_Pick
PJ Hairston,Miami Heat,2014,1,26,26
Bogdan Bogdanovic,Phoenix Suns,2014,1,27,27
C.J. Wilcox,Los Angeles Clippers,2014,1,28,28
Josh Huestis,Oklahoma City Thunder,2014,1,29,29
Kyle Anderson,San Antonio Spurs,2014,1,30,30
Damien Inglis,Milwaukee Bucks,2014,2,1,31
KJ McDaniels,Philadelphia 76ers,2014,2,2,32
Joe Harris,Cleveland Cavaliers,2014,2,3,33
Cleanthony Early,New York Knicks,2014,2,4,34
Jarnell Stokes,Utah Jazz,2014,2,5,35
Johnny O'Bryant III,Milwaukee Bucks,2014,2,6,36
DeAndre Daniels,Toronto Raptors,2014,2,7,37
Spencer Dinwiddie,Detroit Pistons,2014,2,8,38
Jerami Grant,Philadelphia 76ers,2014,2,9,39
Glenn Robinson III,Minnesota Timberwolves,2014,2,10,40
Nikola Jokic,Denver Nuggets,2014,2,11,41
Nick Johnson,Houston Rockets,2014,2,12,42
Edy Tavares,Atlanta Hawks,2014,2,13,43
Markel Brown,Minnesota Timberwolves,2014,2,14,44
Dwight Powell,Charlotte Hornets,2014,2,15,45
Jordan Clarkson,Washington Wizards,2014,2,16,46
Russ Smith,Philadelphia 76ers,2014,2,17,47
Lamar Patterson,Milwaukee Bucks,2014,2,18,48
Cameron Bairstow,Chicago Bulls,2014,2,19,49
Alec Brown,Phoenix Suns,2014,2,20,50
Thanasis Antetokounmpo,New York Knicks,2014,2,21,51
Vasilije Micic,Philadelphia 76ers,2014,2,22,52
Alessandro Gentile,Minnesota Timberwolves,2014,2,23,53
Nemanja Dangubic,Philadelphia 76ers,2014,2,24,54
Semaj Christon,Miami Heat,2014,2,25,55
Devyn Marble,Denver Nuggets,2014,2,26,56
Louis Labeyrie,Indiana Pacers,2014,2,27,57
Jordan McRae,San Antonio Spurs,2014,2,28,58
Xavier Thames,Toronto Raptors,2014,2,29,59
Cory Jefferson,San Antonio Spurs,2014,2,30,60
Anthony Bennett,Cleveland Cavaliers,2013,1,1,1
Victor Oladipo,Orlando Magic,2013,1,2,2
Otto Porter Jr.,Washington Wizards,2013,1,3,3
Cody Zeller,Charlotte Bobcats,2013,1,4,4
Alex Len,Phoenix Suns,2013,1,5,5
Nerlens Noel,New Orleans Pelicans,2013,1,6,6
Ben McLemore,Sacramento Kings,2013,1,7,7
Kentavious Caldwell-Pope,Detroit Pistons,2013,1,8,8
Trey Burke,Minnesota Timberwolves,2013,1,9,9
CJ McCollum,Portland Trail Blazers,2013,1,10,10
Michael Carter-Williams,Philadelphia 76ers,2013,1,11,11
Steven Adams,Oklahoma City Thunder,2013,1,12,12
Kelly Olynyk,Dallas Mavericks,2013,1,13,13
Shabazz Muhammad,Utah Jazz,2013,1,14,14
Giannis Antetokounmpo,Milwaukee Bucks,2013,1,15,15
Lucas Nogueira,Boston Celtics,2013,1,16,16
Dennis Schroder,Atlanta Hawks,2013,1,17,17
Shane Larkin,Atlanta Hawks,2013,1,18,18
Sergey Karasev,Cleveland Cavaliers,2013,1,19,19
Tony Snell,Chicago Bulls,2013,1,20,20
Gorgui Dieng,Utah Jazz,2013,1,21,21
